,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
46,0.2732,2017-09-18 05:25:06+00:00,0.0,0.87,0.13,CNN,Former White House press secretary Sean Spicer made a surprise cameo at the #Emmys https://t.co/xDylbGKbXX https://t.co/L7ntkZiYKq,47
47,-0.4767,2017-09-18 05:15:05+00:00,0.237,0.763,0.0,CNN,Woman arrested for vandalizing Wall Street's famed bull statue https://t.co/kdk4BaZJ4l https://t.co/G5bPIF3Mmu,48
48,0.0,2017-09-18 05:05:08+00:00,0.0,1.0,0.0,CNN,Neil deGrasse Tyson says it might be 'too late' to recover from climate change https://t.co/V54XSiRh3S,49
49,0.0,2017-09-18 04:55:05+00:00,0.0,1.0,0.0,CNN,"From Reese Witherspoon to Sterling K. Brown, here are some of the award-worthy speeches at the #Emmys… https://t.co/D4Ugck75tb",50
50,0.3182,2017-09-18 04:45:04+00:00,0.0,0.892,0.108,CNN,Hurricane Maria is forecast to rapidly strengthen over the next two days as it takes aim at Caribbean islands… https://t.co/pWPykAm0w4,51
51,-0.4939,2017-09-18 04:35:04+00:00,0.127,0.873,0.0,CNN,Here's a look at a US-unit in South Korea designed to limit the damage to Seoul from North Korea in the event of wa… https://t.co/tmlz7mUJm8,52
52,0.2732,2017-09-18 04:26:19+00:00,0.0,0.9,0.1,CNN,"Here’s a rare look at Mount Paektu, a site sacred to North Koreans, as well as their neighbors to the south… https://t.co/XtKfAaGbeZ",53
53,0.4215,2017-09-18 04:16:36+00:00,0.144,0.541,0.315,CNN,"When China's biggest companies host annual parties, some top executives like to steal the show… https://t.co/DjGV6qpqsN",54
54,0.765,2017-09-18 04:00:06+00:00,0.0,0.732,0.268,CNN,Big wins for “Veep” and “The Handmaid’s Tale” at an #Emmys that cast US President Trump in a supporting role… https://t.co/27Cgq4PCHQ,55
55,-0.2263,2017-09-18 03:46:07+00:00,0.128,0.872,0.0,CNN,"In Bangladesh's overcrowded Rohingya refugee camps, supplies are limited and circumstances are dire… https://t.co/sY915c8NOb",56
56,0.0,2017-09-18 03:36:03+00:00,0.0,1.0,0.0,CNN,Here's a side of North Korea the world rarely sees https://t.co/vg7x7X0acp https://t.co/uZOrf9Jjys,57
57,0.0,2017-09-18 03:26:06+00:00,0.0,1.0,0.0,CNN,"With the golf retweet, Trump blunders into the 'Streisand effect,' writes Kara Alaimo for @CNNopinion… https://t.co/wbfHs3LabN",58
58,0.0772,2017-09-18 03:16:04+00:00,0.0,0.86,0.14,CNN,Want a job as a NASA astronaut? Read this https://t.co/Vm3ZGxZ2h1 https://t.co/zMOsnppIfs,59
59,0.8271,2017-09-18 03:02:11+00:00,0.0,0.51,0.49,CNN,"RT @CNNent: .@HandmaidsOnHulu wins Outstanding Drama Series. #Emmys
https://t.co/kW0bACaYEQ https://t.co/u7RaAqkiQK",60
60,-0.0772,2017-09-18 03:00:10+00:00,0.098,0.902,0.0,CNN,Republican leaders are serious about one last attempt to overhaul Obamacare https://t.co/SvMsLvLsR7 https://t.co/5uVihhWtwd,61
61,0.8271,2017-09-18 02:58:54+00:00,0.0,0.645,0.355,CNN,"RT @CNNent: Elisabeth Moss wins Outstanding Lead Actress in a Drama Series for @HandmaidsOnHulu #Emmys
https://t.co/JpDysgJ8Uu https://t.co…",62
62,0.8271,2017-09-18 02:53:52+00:00,0.0,0.628,0.372,CNN,"RT @CNNent: .@SterlingKBrown wins Outstanding Lead Actor in a Drama Series for @NBCThisisUs #Emmys
https://t.co/jwFxSD2AcQ https://t.co/LtW…",63
63,-0.4588,2017-09-18 02:53:34+00:00,0.15,0.85,0.0,CNN,"Four American college students attacked with acid on Sunday at a train station in Marseilles, France, police say… https://t.co/UULJw6kqVF",64
64,0.8271,2017-09-18 02:42:23+00:00,0.0,0.588,0.412,CNN,"RT @CNNent: .@blackmirror: San Junipero wins Outstanding Television Movie. @netflix #Emmys
https://t.co/brn70N0OyM https://t.co/bT9jP9cvaC",65
65,0.4588,2017-09-18 02:40:05+00:00,0.0,0.769,0.231,CNN,"Baton Rouge shootings may be racially motivated, police say https://t.co/5ZWcyRAm82 https://t.co/Dq9Uh7rOrd",66
66,0.7783,2017-09-18 02:37:05+00:00,0.074,0.625,0.301,CNN,"RT @CNNent: Nicole Kidman wins Outstanding Lead Actress in a Limited Series or TV Movie for #BigLittleLies #Emmys
https://t.co/l3ccLYndxL h…",67
67,0.7783,2017-09-18 02:33:52+00:00,0.077,0.61,0.313,CNN,"RT @CNNent: .@rizmc wins Outstanding Lead Actor in a Limited Series or TV Movie for #TheNightOf #Emmys
https://t.co/YK1ALQbNru https://t.co…",68
